date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200615,KY,12647,283204,,383,2433,63,969,,,3416,B,6/15/20 0:00,2020-06-15T00:00:00Z,6/14/20 20:00,505,2433,2020-06-15T00:00:00Z,,,,12326,21,202,1064,295851,295851,1266,295851,6,0,e9811457d104cada0ee89367bd0460f505e4277b,0,0,0,0,0,
20200615,LA,47172,471553,,568,,,,76,,37017,B,6/15/20 13:00,2020-06-15T13:00:00Z,6/15/20 9:00,3018,,2020-06-15T13:00:00Z,,,,47172,22,553,8840,518725,518725,9393,518725,4,0,4c7285d01be9cabaca0679b7e9e66442b1c2d442,0,0,0,0,0,
20200615,MA,105690,611541,,1026,10817,253,,167,,,A+,6/15/20 16:00,2020-06-15T16:00:00Z,6/15/20 12:00,7647,10817,2020-06-15T16:00:00Z,,,,101334,25,87,4434,717231,717231,4521,717231,23,15,ad6c8459aec846e28722e1a599bfc8f14c95e48b,0,0,0,0,0,
20200615,MD,62032,359076,,745,10222,292,,,,4567,B,6/15/20 10:00,2020-06-15T10:00:00Z,6/15/20 6:00,2947,10222,2020-06-15T10:00:00Z,500791,,,62032,24,331,5468,421108,421108,5799,421108,8,57,882a9d1473bd27f3279bf53b6340f8df91171e38,0,0,0,0,0,
20200615,ME,2810,68161,,31,317,11,,4,,2189,B,6/15/20 12:15,2020-06-15T12:15:00Z,6/15/20 8:15,101,317,2020-06-15T12:15:00Z,71697,3425,68161,2495,23,17,1096,70971,70971,1113,70971,1,3,c74421ceb571ac10ee86d3cbdc1f01ee78f4c2c5,0,0,0,0,0,
20200615,MI,66085,757952,,562,,210,,139,,44964,A+,6/15/20 0:00,2020-06-15T00:00:00Z,6/14/20 20:00,6017,,2020-06-15T00:00:00Z,839866,82274,757952,60064,26,31,10508,824037,824037,10539,824037,1,0,9392719892893fcc0c4dbc37ec5c95dd525b28c5,0,0,0,0,0,
20200615,MN,30693,392229,,353,3630,186,1121,,,26609,A,6/14/20 17:00,2020-06-14T17:00:00Z,6/14/20 13:00,1335,3630,2020-06-14T17:00:00Z,422922,,,30693,27,222,4990,422922,422922,5212,422922,6,20,5f05a8e1edb57aa2bb195d531839033f1a0b8f21,0,0,0,0,0,
20200615,MO,16189,263752,,612,,,,64,,,B,6/15/20 15:00,2020-06-15T15:00:00Z,6/15/20 11:00,880,,2020-06-15T15:00:00Z,270232,17275,252506,16189,29,379,4073,279941,279941,4452,279941,1,0,df44e52126fa9cb192488110a43dc92b50578722,0,0,0,0,0,
20200615,MP,30,8139,,,,,,,,19,D,6/14/20 18:09,2020-06-14T18:09:00Z,6/14/20 14:09,2,,2020-06-14T18:09:00Z,8169,,,30,69,0,0,8169,8169,0,8169,0,0,a52fd92b3f00da60c3e701e8ba1af4c44b0e0c58,0,0,0,0,0,
20200615,MS,19799,210704,,661,2680,163,,100,,15323,A,6/14/20 19:00,2020-06-14T19:00:00Z,6/14/20 15:00,895,2680,2020-06-14T19:00:00Z,230503,,,19664,28,283,16167,230503,230503,16450,230503,4,15,34b1deaf3e51a2e599a34a340b053dd1ff929db5,0,0,0,0,0,
20200615,MT,609,60328,,7,78,,,,,510,C,6/15/20 0:00,2020-06-15T00:00:00Z,6/14/20 20:00,19,78,2020-06-15T00:00:00Z,,,,609,30,8,2022,60937,60937,2030,60937,0,1,10fcb0b5452eb4eff17a4756dc02a6eae37faaf8,0,0,0,0,0,
20200615,NC,45102,593377,,797,,,,,,29219,A,6/15/20 11:40,2020-06-15T11:40:00Z,6/15/20 7:40,1118,,2020-06-15T11:40:00Z,,,,45102,37,983,10366,638479,638479,11349,638479,9,0,5b4ce66331d0e67cdf10fd77d58254f6b0b78c4c,0,0,0,0,0,
20200615,ND,3101,84675,,31,197,,,,,2683,F,6/15/20 0:00,2020-06-15T00:00:00Z,6/14/20 20:00,77,197,2020-06-15T00:00:00Z,133896,,,3101,38,21,875,87776,87776,896,87776,0,0,a4d642d2e298b56a0590073344e009aa3c469ef6,0,0,0,0,0,
20200615,NE,16725,121030,,160,1075,,,,,10121,D,6/14/20 20:00,2020-06-14T20:00:00Z,6/14/20 16:00,216,1075,2020-06-14T20:00:00Z,,,,16725,31,92,1548,137755,137755,1640,137755,0,5,d2ca3fb14b02acf27faeec7c1da29bd074e61a27,0,0,0,0,0,
20200615,NH,5345,93528,,69,519,,154,,,4041,B,6/15/20 9:00,2020-06-15T09:00:00Z,6/15/20 5:00,320,519,2020-06-15T09:00:00Z,,,,5345,33,46,2406,98873,98873,2452,98873,2,6,21dac726e24ba1e0b0847a60ad29e3c3ef8a9dd1,0,0,0,0,0,
20200615,NJ,167103,948980,,1342,18755,399,,267,,28819,A+,6/15/20 13:00,2020-06-15T13:00:00Z,6/15/20 9:00,12676,18755,2020-06-15T13:00:00Z,,,,167103,34,222,18245,1116083,1116083,18467,1116083,51,18,242cda6073a3e94d2a577c899962b787291e53ea,0,0,0,0,0,
20200615,NM,9723,253942,,162,1625,,,,,4114,C,6/14/20 18:03,2020-06-14T18:03:00Z,6/14/20 14:03,435,1625,2020-06-14T18:03:00Z,,,,9723,35,102,4569,263665,263665,4671,263665,4,0,ccccd7f4e24d31c30b79f2a5c666f297ac68bb14,0,0,0,0,0,
20200615,NV,11279,205155,,346,,85,,40,,636,A+,6/15/20 11:30,2020-06-15T11:30:00Z,6/15/20 7:30,465,,2020-06-15T11:30:00Z,248498,,,11279,32,106,5717,216434,216434,5823,216434,1,0,d7197d0c01c723e033aac3b2a1a08964f6d522c3,0,0,0,0,0,
20200615,NY,383944,2607266,,1608,89995,470,,323,,68851,A,6/15/20 0:00,2020-06-15T00:00:00Z,6/14/20 20:00,24579,89995,2020-06-15T00:00:00Z,,,,383944,36,620,55991,2991210,2991210,56611,2991210,28,0,687804ec7fbe947b02eb239a57cc805aec4883c9,0,0,0,0,0,
20200615,OH,41576,515592,,513,6948,216,1776,157,,,B,6/15/20 14:00,2020-06-15T14:00:00Z,6/15/20 10:00,2573,6948,2020-06-15T14:00:00Z,,,,38536,39,428,10520,557168,557168,10948,557168,16,53,5b056f53c5f0dfb297b62034f07e2ef007725f5f,0,0,0,0,0,
20200615,OK,8417,242587,,149,1117,67,,,,6628,A+,6/15/20 8:00,2020-06-15T08:00:00Z,6/15/20 4:00,359,1117,2020-06-15T08:00:00Z,252624,9456,242587,8417,40,186,0,251004,251004,186,251004,0,1,c3c4689987d0df35ff763400a64584d0bdfc985f,0,0,0,0,0,
20200615,OR,5636,168246,,133,875,47,,15,,2396,A+,6/14/20 0:00,2020-06-14T00:00:00Z,6/13/20 20:00,176,875,2020-06-14T00:00:00Z,,,,5207,41,259,7434,173882,173882,7693,173882,3,0,9d3fcb07c5859d703d65f4304afc6a156ce5896c,0,0,0,0,0,
20200615,PA,79121,513909,,851,,,,178,,58549,A+,6/15/20 0:00,2020-06-15T00:00:00Z,6/14/20 20:00,6243,,2020-06-15T00:00:00Z,,,,76883,42,323,9474,593030,593030,9797,593030,28,0,fb41b3f10dab21f4358323005086f32201ee4084,0,0,0,0,0,
20200615,PR,5890,,,104,,8,,2,,,C,6/15/20 6:30,2020-06-15T06:30:00Z,6/15/20 2:30,147,,2020-06-15T06:30:00Z,61515,,,1477,72,79,0,5890,5890,79,5890,0,0,8eb23a03c430d5706f2c25b96f82df79eb052f21,0,0,0,0,0,
20200615,RI,16093,184352,,127,1882,21,,14,,1474,A+,6/15/20 12:00,2020-06-15T12:00:00Z,6/15/20 8:00,851,1882,2020-06-15T12:00:00Z,,,,16093,44,146,8781,200445,200445,8927,200445,18,29,92a3a1a587b823a80f1a813dedf1c00813642d97,0,0,0,0,0,
20200615,SC,19378,236179,,536,1988,,,,,8682,A+,6/15/20 16:00,2020-06-15T16:00:00Z,6/15/20 12:00,602,1988,2020-06-15T16:00:00Z,262473,26294,236179,19378,45,583,6638,255557,255557,7221,255557,2,0,8bc8b316356b568ecfb9280653eb8243b0d8dd39,0,0,0,0,0,
